[ 2025-09-24 03:37:18,376 ]  17 root - INFO - Initiate Data Ingestion Config
[ 2025-09-24 03:37:18,503 ]  41 root - INFO - Data loaded successfully from table: NetworkData
[ 2025-09-24 03:37:18,562 ]  64 root - INFO - Performed train test split on the dataframe
[ 2025-09-24 03:37:18,562 ]  65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-24 03:37:18,563 ]  72 root - INFO - Exporting train and test file path.
[ 2025-09-24 03:37:18,596 ]  82 root - INFO - Exported train and test file path.
[ 2025-09-24 03:37:18,596 ]  22 root - INFO - Data Ingestion Completed
[ 2025-09-24 03:37:18,610 ]  27 root - INFO - Initiate Data Validation Config
[ 2025-09-24 03:37:18,649 ]  35 root - INFO - Required number of columns: 31
[ 2025-09-24 03:37:18,649 ]  36 root - INFO - Dataframe has columns: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2025-09-24 03:37:18,649 ]  35 root - INFO - Required number of columns: 31
[ 2025-09-24 03:37:18,649 ]  36 root - INFO - Dataframe has columns: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2025-09-24 03:37:18,879 ]  137 root - INFO - Data validation artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts\\09_24_2025_03_37_17\\data_validation\\validated\\train.csv', valid_test_file_path='Artifacts\\09_24_2025_03_37_17\\data_validation\\validated\\test.csv', invalid_train_file_path='Artifacts\\09_24_2025_03_37_17\\data_validation\\invalid\\train.csv', invalid_test_file_path='Artifacts\\09_24_2025_03_37_17\\data_validation\\invalid\\test.csv', drift_report_file_path='Artifacts\\09_24_2025_03_37_17\\data_validation\\drift_report\\report.yaml')
[ 2025-09-24 03:37:18,879 ]  29 root - INFO - Data Validation Completed
[ 2025-09-24 03:37:18,879 ]  34 root - INFO - Initiate Data Transformation Config
[ 2025-09-24 03:37:18,879 ]  50 root - INFO - Initiating data transformation.
[ 2025-09-24 03:37:18,914 ]  53 root - INFO - Obtaining preprocessing object.
[ 2025-09-24 03:37:18,914 ]  66 root - INFO - Obtaining preprocessing object.
[ 2025-09-24 03:37:18,914 ]  36 root - INFO - Creating data transformer object.
[ 2025-09-24 03:37:18,914 ]  43 root - INFO - Data transformer object created successfully.
[ 2025-09-24 03:37:18,927 ]  33 root - INFO - Saving numpy array data to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed\train.npy
[ 2025-09-24 03:37:18,929 ]  38 root - INFO - Saved numpy array data to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed\train.npy
[ 2025-09-24 03:37:18,929 ]  33 root - INFO - Saving numpy array data to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed\test.npy
[ 2025-09-24 03:37:18,931 ]  38 root - INFO - Saved numpy array data to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed\test.npy
[ 2025-09-24 03:37:18,931 ]  45 root - INFO - Saving object to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed_object\preprocessing.pkl
[ 2025-09-24 03:37:18,934 ]  50 root - INFO - Saved object to file: Artifacts\09_24_2025_03_37_17\data_transformation\transformed_object\preprocessing.pkl
[ 2025-09-24 03:37:18,935 ]  36 root - INFO - Data Transformation Completed
[ 2025-09-24 03:37:18,935 ]  39 root - INFO - ModelTraining Started
[ 2025-09-24 03:37:18,935 ]  140 root - INFO - Loading transformed training dataset
[ 2025-09-24 03:37:18,949 ]  148 root - INFO - Splitting input and target feature from both train and test arr
[ 2025-09-24 03:39:22,808 ]  124 root - INFO - Best found model on both training and testing dataset.
[ 2025-09-24 03:39:22,808 ]  45 root - INFO - Saving object to file: Artifacts\09_24_2025_03_37_17\model_trainer\trained_model\model.pkl
[ 2025-09-24 03:39:22,828 ]  50 root - INFO - Saved object to file: Artifacts\09_24_2025_03_37_17\model_trainer\trained_model\model.pkl
[ 2025-09-24 03:39:22,828 ]  131 root - INFO - Model trainer artifact: <class 'src.CysProject.entity.artifact_entity.ModelTrainerArtifact'> created
[ 2025-09-24 03:39:22,832 ]  43 root - INFO - Model Training Completed
